,power sensor (delta),power sensor (theta),power sensor (alpha),power sensor (beta),power sensor (gamma),power source (delta),power source (theta),power source (alpha),power source (beta),power source (gamma),wpli source (delta),wpli source (theta),wpli source (alpha),wpli source (beta),wpli source (gamma),correlation source (delta),correlation source (theta),correlation source (alpha),correlation source (beta),correlation source (gamma),correlation sensor (delta),correlation sensor (theta),correlation sensor (alpha),correlation sensor (beta),correlation sensor (gamma),wpli sensor (delta),wpli sensor (theta),wpli sensor (alpha),wpli sensor (beta),wpli sensor (gamma)
0,10.0,0.1,10.0,0.001,10.0,10.0,1.0,1.0,0.001,1.0,0.001,1.0,1.0,0.001,0.1,1.0,0.001,1.0,0.1,1.0,0.001,1.0,0.001,1.0,1.0,1.0,1.0,0.001,1.0,1.0
1,0.01,1.0,10.0,10.0,10.0,0.1,0.01,10.0,10.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0,0.1,0.001,0.001,1.0,1.0,0.001,0.01,1.0,1.0,0.001,1.0,1.0
2,10.0,0.001,10.0,0.01,10.0,0.001,1.0,0.001,1.0,10.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.1,0.1,1.0,0.001,1.0,1.0,0.01,1.0,1.0,0.001,1.0,1.0
3,1.0,10.0,10.0,0.001,0.001,1.0,1.0,1.0,10.0,1.0,1.0,0.001,1.0,0.01,0.001,0.001,0.01,0.1,0.1,0.001,1.0,1.0,1.0,1.0,0.001,0.001,1.0,1.0,1.0,0.001
4,10.0,0.1,10.0,1.0,10.0,0.001,0.1,1.0,0.1,0.01,0.001,1.0,1.0,0.1,0.001,1.0,1.0,1.0,0.1,0.001,0.001,1.0,0.001,1.0,0.01,0.001,1.0,0.001,1.0,1.0
5,0.001,0.01,0.01,0.01,10.0,0.01,1.0,10.0,1.0,0.001,0.01,1.0,0.001,0.001,0.001,0.1,0.1,0.001,0.01,1.0,0.001,0.001,1.0,1.0,0.01,0.001,0.001,1.0,1.0,1.0
6,10.0,1.0,10.0,10.0,10.0,1.0,1.0,0.1,10.0,10.0,0.001,0.01,0.01,0.1,0.1,0.1,0.001,1.0,0.001,1.0,0.001,1.0,0.001,1.0,0.01,0.001,1.0,1.0,1.0,1.0
7,0.01,0.1,0.01,10.0,1.0,1.0,0.01,10.0,1.0,10.0,0.001,1.0,1.0,0.01,0.1,0.1,1.0,0.001,0.1,0.001,1.0,1.0,1.0,1.0,1.0,0.001,0.001,1.0,0.001,1.0
8,10.0,0.001,10.0,10.0,0.001,10.0,0.01,1.0,1.0,0.001,1.0,0.01,0.1,0.01,1.0,0.1,0.001,1.0,0.001,1.0,0.001,1.0,1.0,0.001,0.001,0.001,0.001,1.0,1.0,1.0
9,0.001,0.001,10.0,10.0,0.001,0.01,0.001,1.0,10.0,0.001,1.0,1.0,0.001,0.01,0.001,0.1,0.001,1.0,0.1,1.0,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.001
10,10.0,10.0,0.001,1.0,10.0,10.0,10.0,1.0,1.0,0.001,0.001,0.001,0.001,0.01,1.0,0.1,0.001,0.1,0.01,0.001,0.001,1.0,1.0,1.0,0.001,0.001,0.001,0.001,1.0,0.001
11,10.0,1.0,10.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.001,0.01,1.0,1.0,0.1,0.1,1.0,0.001,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0
12,0.001,1.0,0.001,1.0,0.001,10.0,10.0,1.0,10.0,0.01,0.001,0.01,1.0,1.0,0.1,0.1,0.001,1.0,1.0,0.001,0.001,1.0,0.001,0.001,0.01,1.0,1.0,0.001,1.0,1.0
13,10.0,0.1,0.001,0.1,0.001,10.0,1.0,10.0,10.0,10.0,1.0,0.001,1.0,0.1,1.0,0.1,1.0,1.0,0.001,10.0,0.001,1.0,0.001,0.01,0.01,0.001,0.001,1.0,0.001,0.001
14,0.001,0.01,10.0,10.0,10.0,1.0,10.0,1.0,10.0,10.0,1.0,0.01,0.01,1.0,0.001,1.0,0.01,0.1,0.1,1.0,0.001,1.0,0.001,1.0,0.01,0.001,0.001,1.0,1.0,1.0
15,0.001,10.0,1.0,0.01,10.0,10.0,1.0,0.01,10.0,0.001,1.0,0.001,0.001,0.001,0.001,0.1,0.001,1.0,0.1,1.0,0.001,0.001,1.0,0.001,0.01,0.001,1.0,0.001,1.0,1.0
16,0.1,1.0,10.0,1.0,0.01,0.1,10.0,0.1,10.0,10.0,0.001,1.0,0.001,0.001,0.001,0.01,1.0,0.001,0.01,1.0,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,0.001
17,10.0,1.0,0.001,0.01,0.001,10.0,1.0,0.1,1.0,1.0,1.0,1.0,0.001,0.01,1.0,1.0,0.01,1.0,0.01,0.1,1.0,1.0,1.0,0.001,0.001,0.001,1.0,0.001,1.0,0.001
18,0.001,1.0,0.001,0.001,1.0,10.0,1.0,10.0,0.001,10.0,1.0,0.001,1.0,0.01,1.0,0.1,0.1,0.1,0.1,0.01,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0
19,0.001,1.0,10.0,10.0,0.001,10.0,10.0,1.0,10.0,0.1,0.001,0.01,1.0,0.1,1.0,0.1,1.0,1.0,0.001,0.1,0.001,1.0,1.0,0.001,0.01,0.001,1.0,0.001,0.001,1.0
